1. lambda=118059.940, adding coordinate 503, |B|=1...
2. lambda=114169.175, adding coordinate 502, |B|=2...
3. lambda=114099.114, deleting coordinate 503, |B|=1...
4. lambda=110002.065, adding coordinate 501, |B|=2...
5. lambda=109859.459, deleting coordinate 502, |B|=1...
6. lambda=107768.829, adding coordinate 500, |B|=2...
7. lambda=107590.643, deleting coordinate 501, |B|=1...
8. lambda=104902.439, adding coordinate 499, |B|=2...
9. lambda=104678.926, deleting coordinate 500, |B|=1...
10. lambda=101308.518, adding coordinate 498, |B|=2...
11. lambda=101028.540, deleting coordinate 499, |B|=1...
12. lambda=97700.712, adding coordinate 497, |B|=2...
13. lambda=97367.423, deleting coordinate 498, |B|=1...
14. lambda=94844.195, adding coordinate 496, |B|=2...
15. lambda=94470.065, deleting coordinate 497, |B|=1...
16. lambda=92122.786, adding coordinate 495, |B|=2...
17. lambda=91713.163, deleting coordinate 496, |B|=1...
18. lambda=89264.903, adding coordinate 494, |B|=2...
19. lambda=88816.961, deleting coordinate 495, |B|=1...
20. lambda=86345.348, adding coordinate 493, |B|=2...
21. lambda=85861.571, deleting coordinate 494, |B|=1...
22. lambda=82480.370, adding coordinate 492, |B|=2...
23. lambda=81945.423, deleting coordinate 493, |B|=1...
24. lambda=78729.525, adding coordinate 491, |B|=2...
25. lambda=78149.324, deleting coordinate 492, |B|=1...
26. lambda=75227.887, adding coordinate 490, |B|=2...
27. lambda=74606.319, deleting coordinate 491, |B|=1...
28. lambda=73081.042, adding coordinate 489, |B|=2...
29. lambda=72437.321, deleting coordinate 490, |B|=1...
30. lambda=71307.248, adding coordinate 488, |B|=2...
31. lambda=70650.395, deleting coordinate 489, |B|=1...
32. lambda=67914.142, adding coordinate 487, |B|=2...
33. lambda=67218.902, deleting coordinate 488, |B|=1...
34. lambda=64643.776, adding coordinate 486, |B|=2...
35. lambda=60781.030, deleting coordinate 487, |B|=1...
36. lambda=59754.871, adding coordinate 485, |B|=2...
37. lambda=58923.232, deleting coordinate 486, |B|=1...
38. lambda=56197.089, adding coordinate 484, |B|=2...
39. lambda=55325.999, deleting coordinate 485, |B|=1...
40. lambda=52395.418, adding coordinate 483, |B|=2...
41. lambda=51486.788, deleting coordinate 484, |B|=1...
42. lambda=49995.598, adding coordinate 482, |B|=2...
43. lambda=49065.587, deleting coordinate 483, |B|=1...
44. lambda=48273.031, adding coordinate 481, |B|=2...
45. lambda=47335.856, deleting coordinate 482, |B|=1...
46. lambda=45913.209, adding coordinate 480, |B|=2...
47. lambda=44958.416, deleting coordinate 481, |B|=1...
48. lambda=42598.965, adding coordinate 479, |B|=2...
49. lambda=41612.099, deleting coordinate 480, |B|=1...
50. lambda=39167.108, adding coordinate 478, |B|=2...
51. lambda=38152.216, deleting coordinate 479, |B|=1...
52. lambda=37290.037, adding coordinate 476, |B|=2...
53. lambda=35248.125, deleting coordinate 478, |B|=1...
